# GAIA,TWOMASS,pmRA,pmDEC,d,plx,m_h,m_h_err,alpha_m,alpha_m_err
1507111862483187200,              14255634+4724088,-141.494995117,-189.261001587,247.582992554,4.01013994217,-0.66266900301,0.0144000332803,0.227184996009,0.0113770272583
1603833460837253120,              14314549+5052555,-67.4841003418,-33.1707000732,986.767028809,0.984270989895,-1.81776154041,0.0611096099019,0.321928977966,0.0543983317912
1172913275995386880,              14344281+0759379,-60.620300293,-90.112701416,626.572998047,1.56816995144,-0.531208992004,0.0151411928236,0.228495001793,0.0148371392861
1261333870797241088,              14591858+2039378,-168.74899292,-50.7718009949,304.364990234,3.25710010529,-2.00554895401,0.0443111285567,0.251444995403,0.0658584535122
1291799345139233024,              15024748+3552160,-81.1181030273,-34.0588989258,745.013977051,1.313560009,-2.33504891396,0.0853652730584,0.540314972401,0.18343269825
1213541261434134912,              15062609+2054339,-39.1222991943,-142.341003418,751.960998535,1.30137002468,-2.22916150093,0.0512419305742,0.0985489934683,0.0545195527375
1288752735858092288,              15074140+3224382,-137.873001099,-458.12298584,125.45300293,7.94227981567,-0.663809001446,0.0171891227365,0.174504995346,0.0160255245864
1270920066005836416,              15254880+2720149,-18.9181003571,-170.518997192,415.45300293,2.37871003151,-0.60562902689,0.0204300638288,0.12974499166,0.0224807821214
1274012030141161984,              15344201+3041174,-158.511001587,-17.4162006378,396.842010498,2.49128007889,-1.11514890194,0.0380743965507,0.292594999075,0.0491723529994
1221506158026965632,              15411813+2512344,-147.884002686,-304.343994141,216.12600708,4.59808015823,-1.12674891949,0.0260854884982,0.185274988413,0.0199425984174
1219413856118752896,              15522045+2407105,-186.427001953,-157.930999756,338.062011719,2.92999005318,-1.52584898472,0.0519956275821,0.202924996614,0.0795252993703
1396845685331366912,              15555069+4444155,-87.5994033813,-196.11000061,303.657989502,3.2643699646,-1.50556159019,0.03595039621,0.24987898767,0.0345559604466
4426625124710633856,              15594624+0533067,-110.721000671,-210.061004639,325.550994873,3.04299998283,-1.62234890461,0.0350021123886,0.21574498713,0.0424261428416
4449641270335206912,              16062260+0522427,-138.916000366,-101.402999878,354.708007812,2.7912299633,-1.49364900589,0.0640106648207,0.30461499095,0.10531462729
1321927441209183360,              16081217+3102487,-111.519996643,-195.815994263,269.868011475,3.67676997185,-1.37884891033,0.0336690209806,0.251904994249,0.0489433854818
1321927441209183360,              16081217+3102487,-111.519996643,-195.815994263,269.868011475,3.67676997185,-1.65806150436,0.0310914888978,0.346049010754,0.0326391719282
1315111465549783168,              16082648+2523341,-112.279998779,-154.761993408,268.225006104,3.69942998886,-0.641939043999,0.0177775975317,0.218724995852,0.0173192806542
1315111465549783168,              16082648+2523341,-112.279998779,-154.761993408,268.225006104,3.69942998886,-0.684679031372,0.0167067199945,0.22200499475,0.0163870211691
1315111465549783168,              16082648+2523341,-112.279998779,-154.761993408,268.225006104,3.69942998886,-0.669889032841,0.0187468435615,0.186624988914,0.0179561078548
