# gaia,tmass,pmra,pmdec,d,plx,m_h,m_h_err,alpha_m,alpha_m_err
882273629349368704,07513978+3357592,-6.90027701793,-169.342336987,382.96176346,2.61122674745,-1.99106156826,0.0208940133452,0.304319024086,0.0261603947729
668758091963697920,07522887+1908245,-22.8839559376,-172.093245845,383.78960303,2.60559429465,-1.33776152134,0.0331169329584,0.4114189744,0.0312577262521
668758091963697920,07522887+1908245,-22.8839559376,-172.093245845,383.78960303,2.60559429465,-1.23624897003,0.0351404547691,0.431885004044,0.0451948568225
668758091963697920,07522887+1908245,-22.8839559376,-172.093245845,383.78960303,2.60559429465,-1.33776152134,0.0331169329584,0.4114189744,0.0312577262521
668758091963697920,07522887+1908245,-22.8839559376,-172.093245845,383.78960303,2.60559429465,-1.23624897003,0.0351404547691,0.431885004044,0.0451948568225
668758091963697920,07522887+1908245,-22.8839559376,-172.093245845,383.78960303,2.60559429465,-1.33776152134,0.0331169329584,0.4114189744,0.0312577262521
668758091963697920,07522887+1908245,-22.8839559376,-172.093245845,383.78960303,2.60559429465,-1.23624897003,0.0351404547691,0.431885004044,0.0451948568225
669926288707840768,07585384+1835083,-38.2359248591,-276.546870062,184.458270601,5.4212803619,-1.1347489357,0.0205372311175,0.264375001192,0.0187519080937
669926288707840768,07585384+1835083,-38.2359248591,-276.546870062,184.458270601,5.4212803619,-1.1524490118,0.0220444500446,0.293904989958,0.0203056894243
669926288707840768,07585384+1835083,-38.2359248591,-276.546870062,184.458270601,5.4212803619,-1.1347489357,0.0205372311175,0.264375001192,0.0187519080937
669926288707840768,07585384+1835083,-38.2359248591,-276.546870062,184.458270601,5.4212803619,-1.1524490118,0.0220444500446,0.293904989958,0.0203056894243
922128172781301760,07590116+4042585,52.6092365062,-100.804067441,487.305871282,2.05209922337,-1.99906158447,0.0428102426231,0.332579016685,0.044803801924
933340275102388736,08003425+4902446,41.4620720446,-62.3878643348,695.883614719,1.43702190833,-1.09736156464,0.0121855484322,0.207418993115,0.0140754207969
881215693005560064,08010591+3245571,164.709115092,-207.780275392,226.960269442,4.40605751157,-1.46846151352,0.0249600652605,0.369648993015,0.0262876152992
881215693005560064,08010591+3245571,164.709115092,-207.780275392,226.960269442,4.40605751157,-1.34624898434,0.0302595216781,0.356164991856,0.0438224598765
881215693005560064,08010591+3245571,164.709115092,-207.780275392,226.960269442,4.40605751157,-1.46846151352,0.0249600652605,0.369648993015,0.0262876152992
881215693005560064,08010591+3245571,164.709115092,-207.780275392,226.960269442,4.40605751157,-1.34624898434,0.0302595216781,0.356164991856,0.0438224598765
905624473184387328,08013667+3435161,-4.03876476444,-159.409813232,421.914860068,2.37014643153,-0.789491534233,0.0174999535084,0.255958974361,0.0168866552413
935766794186144768,08023221+5041593,4.59469890022,-76.7513836014,665.970948929,1.50156700019,-1.03866159916,0.0384901091456,0.323539018631,0.0324603617191
935766794186144768,08023221+5041593,4.59469890022,-76.7513836014,665.970948929,1.50156700019,-1.03866159916,0.0384901091456,0.323539018631,0.0324603617191
932820785922327936,08044429+4659494,10.2536142423,-205.508426953,251.587851304,3.97475472212,-2.02506160736,0.0390516147017,0.374929010868,0.0421401336789
1032532510443878912,08080990+5335147,-55.3895661189,-68.6743791123,761.457167155,1.31327150513,-1.1942615509,0.0256596058607,0.184219002724,0.0250859055668
909457645597008640,08132596+3951571,-4.59914996333,-205.793598617,638.455355059,1.56628022943,-1.97086155415,0.11115090549,0.167768999934,0.0840970054269
932054087016295424,08143378+4938152,37.5926837642,-101.966374493,716.757450741,1.39517210315,-9999.99023438,-999.989990234,-9999.99023438,-999.989990234
932054087016295424,08143378+4938152,37.5926837642,-101.966374493,716.757450741,1.39517210315,-9999.99023438,-999.989990234,-9999.99023438,-999.989990234
932054087016295424,08143378+4938152,37.5926837642,-101.966374493,716.757450741,1.39517210315,-9999.99023438,-999.989990234,-9999.99023438,-999.989990234
932054087016295424,08143378+4938152,37.5926837642,-101.966374493,716.757450741,1.39517210315,-9999.99023438,-999.989990234,-9999.99023438,-999.989990234
